"Respostas e iGovTI 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foram omitidas as respostas a alguns itens do questionário (questão 5.10, itens das questões 1.8, 4.3, 6.1, 6.2 e 6.3), com vistas a não identificar individualmente os respondentes, de acordo com o Acórdão 3.117/2014-TCU-Plenário, item 9.1.3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Instituição","DescSeg","iGovTI2014","11_a","11_b","11_c","11_d","11_e","11_f","12_a","12_b","12_c","12_d","13_a","13_b","13_c","13_d","14_a","14_b","14_c","14_d","15_a","15_b","15_c","15_d","15_e","16_a","17_a","17_b","17_c","17_d","17_e","18_a","18_b","18_c","18_d","18_e","18_f","21_a","21_b","21_c","21_d","21_e","21_f","21_g","21_h","21_i","21_j","22_a","22_b","22_c","22_d","22_e","22_f","22_g","22_h","22_i","22_j","31_a","31_b","31_c","31_d","32_a","32_b","32_c","32_d","32_e","32_f","32_g","32_h","32_i","41_a","41_b","41_c","41_d","41_e","41_f","41_g","41_h","42_a","42_b","42_c","43_b1","51_a","51_b","51_c","51_d","51_e","51_f","51_g","51_h","51_i","51_j","51_k","51_l","51_m","51_n","52_a","52_b","52_c","52_d","52_e","52_f","53_a","53_b","53_c","53_d","53_e","54_a","54_b","54_c","54_d","54_e","54_f","54_g","54_h","54_i","54_j","54_k","54_l","54_m","54_n","54_o","54_p","54_q","54_r","54_s","54_t","54_u","55_a","55_b","55_c","55_d","55_e","56_a","56_b","56_c","56_d","56_e","56_f","57_a","57_b","57_c","57_d","57_e","57_f","57_g","57_h","57_i","58_a","58_b","58_c","58_d","58_e","59_a","59_b","59_c","59_d","59_e","61_a3","61_a4","61_b3","61_b4","61_c3","61_c4","61_d3","61_d4","61_e3","61_e4","62_a","62_b","621_a4","621_a5","621_b4","621_b5","621_c4","621_c5","621_d4","621_d5","621_e4","621_e5","622_a5","622_a6","622_b5","622_b6","622_c5","622_c6","622_d5","622_d6","622_e5","622_e6","63_a3","63_a4","63_b3","63_b4","63_c3","63_c4","63_d3","63_d4","63_e3","63_e4","64_a","64_b","64_c","64_d","64_e","64_f","64_g","64_h","Utilidade"
50,"Executivo - Dest",56%,3,5,4,5,4,3,5,5,5,4,5,5,5,5,2,2,2,2,4,4,4,4,2,2,4,4,2,2,2,2,2,2,2,2,2,5,5,4,4,5,5,5,5,5,2,4,4,4,3,5,5,5,4,5,5,4,5,2,5,3,2,2,5,2,5,2,2,2,5,5,5,4,5,5,5,4,5,5,4,1,3,3,2,2,2,2,2,2,4,2,5,3,2,2,4,3,2,5,5,2,2,2,2,2,2,5,5,5,5,5,4,5,3,5,3,3,5,2,2,4,5,3,5,5,2,4,4,2,2,2,4,5,4,4,4,4,5,4,5,4,4,4,4,5,4,5,4,4,2,2,3,4,5,2,2,4,24199,11,100,98,100,71,100,76,100,90,100,1,1,20,30,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,4,1,1,1,2,2,2,2,5
51,"Executivo - Dest",29%,5,4,5,5,3,2,4,5,5,5,3,3,3,3,2,2,2,2,2,2,2,2,4,4,3,3,3,3,3,4,3,4,3,3,2,5,5,5,2,5,2,3,5,5,2,4,5,4,4,3,2,2,2,2,2,3,3,2,3,3,3,2,3,2,5,2,2,2,4,4,4,2,2,2,2,2,2,4,4,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,5,2,5,5,2,2,2,2,2,2,2,4,4,2,2,2,4,3,4,2,2,4,2,2,2,2,2,2,2,4,4,4,4,4,5,5,5,5,3,3,3,2,4,4,5,4,2,4,3,100,44,14,37,,1,80,,,1,1,85,,60,,,100,,,,,100,,,,,,,,,,24,80,10,,1,70,4,20,,,4,3,3,3,3,3,3,4,4
52,"Executivo - Dest",25%,3,5,4,5,4,3,3,3,2,2,3,3,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,4,4,2,2,3,4,5,5,4,4,5,4,5,4,2,3,4,2,3,3,5,5,3,4,4,5,3,3,2,2,2,2,5,2,4,4,4,2,4,4,4,3,2,4,3,2,3,2,2,1,2,2,3,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,4,4,4,4,3,2,5,2,5,2,3,3,3,2,2,3,3,2,2,,80,,80,,80,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,2,2,2,2,3,5
53,"Executivo - Dest",42%,2,5,2,4,3,2,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,2,2,2,2,2,2,5,5,4,5,4,5,5,3,5,2,4,4,4,4,4,4,2,4,4,3,4,5,3,4,3,3,3,5,4,4,4,2,3,4,4,4,3,2,3,3,2,3,4,2,,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,4,4,4,4,4,4,3,4,3,4,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,100,100,100,100,31,15,31,15,100,100,100,100,1,1,60,79,0,,,,,,,,,100,0,100,0,100,0,100,0,100,0,99,99,68,99,99,68,99,99,68,85,68,68,85,68,68,4,4,4,2,4,2,2,4,5
54,"Executivo - Dest",53%,5,5,5,5,5,4,3,5,5,4,3,3,3,3,3,3,3,3,2,2,2,2,4,3,3,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,4,3,3,3,5,3,5,3,5,3,3,3,3,3,3,3,3,3,5,5,5,4,4,4,4,2,5,5,5,,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,5,5,3,3,5,3,2,3,3,3,3,3,4,5,5,5,3,5,4,5,4,4,3,4,4,3,5,3,3,3,3,3,5,4,4,3,3,12750801,100,86,100,86,100,98,5,100,86,87,,,,,,,,,,,,,,,,,,,,,,,86,100,98,5,100,,,,,,,5,3,3,3,5,4,4,4,5
55,"Executivo - Dest",66%,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,3,3,3,4,4,5,5,5,4,5,4,4,5,5,4,3,3,3,3,4,5,5,5,5,5,5,5,5,5,2,5,5,5,2,5,5,4,3,5,4,5,5,3,3,2,2,2,5,2,4,2,2,2,5,5,5,4,5,5,5,5,5,5,5,1,5,3,3,5,3,2,3,5,3,2,5,2,3,2,5,2,5,3,3,3,3,2,2,2,2,5,5,5,5,5,3,5,3,5,3,3,2,3,3,3,3,3,3,4,2,4,1,1,1,1,1,4,4,4,4,2,5,5,5,5,5,4,3,5,5,5,5,5,3,3,5,5,5,5,4,5,5570443,29,62,6,95,98,71,52,100,100,84,93,1,1,5,0,30,0,64,0,,,,,100,0,100,0,100,0,,,,,,,,,,,,,,,4,2,2,2,2,2,2,5,5
56,"Executivo - Dest",69%,5,2,2,5,4,2,4,5,4,5,5,5,5,5,4,5,3,2,4,4,5,5,2,2,3,5,2,4,4,5,5,5,3,5,2,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,3,5,5,3,5,5,5,5,5,2,2,2,5,2,2,2,2,2,5,5,5,5,2,5,5,2,5,5,5,,3,3,3,3,5,5,5,5,5,5,5,5,2,2,3,3,3,3,3,3,3,3,3,5,5,5,5,2,5,5,5,5,2,4,2,5,5,5,5,5,5,5,2,5,5,4,5,2,4,5,5,5,5,4,5,2,5,3,5,2,5,3,2,5,5,5,3,3,3,2,2,5,5,4,4,5,100,80,,,,,,,,,1,1,15,0,40,0,40,0,50,0,66,0,100,5,100,2,100,-45,,,,,0,42,0,4,100,0,4,100,90,100,,,4,4,2,2,2,2,2,3,4
57,"Executivo - Dest",27%,4,2,2,4,3,2,4,5,4,4,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,3,3,3,3,4,4,3,3,3,3,4,4,4,2,3,2,2,2,2,2,4,4,5,4,2,2,2,5,2,2,2,5,2,4,4,4,2,4,4,4,2,2,4,4,1,3,2,2,2,3,2,3,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,5,5,4,4,3,2,2,4,3,2,4,3,4,3,4,3,4,4,3,5,2,2,5,4,5,4,2,2,2,2,4,5,4,4,4,4,4,4,2,2,4,2,2,2,4,4,2,2,2,,,,,,,,,,,1,1,48,,74,,75,,37,,,,100,,100,,,,,,,,,,,,,,,,,,4,4,4,4,4,2,2,4,4
58,"Judiciário",63%,4,5,4,5,4,3,4,3,3,3,5,5,5,4,3,3,3,3,3,3,3,3,3,4,3,3,4,4,5,4,3,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,4,4,5,5,5,4,4,5,5,3,3,5,2,5,5,2,2,5,5,5,5,4,5,5,1,2,4,1,1,3,3,3,3,4,3,4,3,4,3,5,3,4,3,3,4,4,5,5,4,4,4,3,3,5,5,5,3,5,5,4,4,5,5,5,3,5,4,3,4,3,4,3,5,4,5,5,5,4,5,4,5,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,50,74,90,100,50,,,,,1,1,60,100,20,50,20,50,20,50,60,50,100,0,100,0,100,20,100,0,100,0,4,100,97,100,0,75,97,100,97,100,4,4,2,4,3,3,2,5,5
59,"Executivo - Sisp",48%,5,5,4,5,3,3,5,5,5,5,5,4,4,2,3,3,3,3,2,2,2,2,2,4,2,2,4,4,5,3,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,2,5,4,5,4,2,5,5,2,5,2,2,2,2,4,4,4,4,4,4,4,4,4,3,3,1,1,5,2,4,2,5,2,5,2,5,2,5,2,5,2,4,3,5,4,4,2,4,4,4,4,2,5,5,5,5,4,5,2,4,4,4,4,4,4,4,5,5,5,5,5,4,4,5,4,5,1,4,4,4,2,2,2,4,5,5,5,5,5,5,5,5,4,5,5,2,2,2,4,5,5,2,2,100,73,100,80,100,33,80,80,12,50,1,1,97,30,76,50,23,30,92,50,51,50,100,20,100,50,,,,,,,30,100,30,100,,,,,,,5,4,4,4,2,2,2,5,5
60,"Executivo - Sisp",84%,4,4,5,5,3,4,5,5,5,5,5,4,5,5,3,3,3,3,5,5,5,5,2,5,5,5,5,5,5,1,1,1,1,1,1,5,5,5,3,5,3,3,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,4,5,4,3,5,5,3,3,5,3,5,4,5,5,3,3,3,4,3,5,5,5,4,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,3,5,5,5,3,3,5,7,100,4,100,50,100,3000,100,90,100,1,1,90,0,60,0,50,0,30,0,65,0,100,0,100,0,100,0,100,0,100,0,90,100,90,100,90,100,90,100,90,100,5,4,4,4,5,4,3,5,5
61,"Executivo - Sisp",30%,4,4,4,3,3,3,4,3,3,3,3,3,4,3,3,4,3,2,2,2,3,3,2,3,3,3,3,4,4,3,3,2,2,2,4,3,3,3,4,5,4,4,3,3,4,3,4,4,3,3,4,4,3,3,2,3,4,3,3,3,3,2,3,2,2,2,3,3,3,3,3,2,2,4,4,2,3,3,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,3,3,2,2,2,3,2,3,3,4,4,4,4,4,3,3,3,3,2,4,3,3,2,3,4,2,5,3,3,2,2,3,4,3,3,2,2,4,5,5,4,3,3,4,3,2,4,3,3,2,2,3,3,3,2,2,0,32,156,25,90,100,98,97,30,95,98,100,1,1,0,0,0,0,0,0,0,0,0,0,100,10,100,20,100,0,100,0,100,0,100,100,100,100,100,100,100,100,,,4,3,3,3,3,2,2,2,5
62,"Executivo - Sisp",54%,3,4,3,5,2,2,5,5,5,5,4,4,5,3,2,2,2,2,4,2,2,2,2,2,3,3,4,3,5,2,4,3,2,2,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,4,3,4,4,3,5,5,3,5,2,2,2,5,5,2,5,2,2,5,5,5,4,5,3,5,2,2,2,2,,2,2,3,4,5,5,5,5,2,2,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,4,4,5,5,5,2,2,4,5,3,2,5,5,5,2,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,5,3,2,5,0,8,93,0,7,92,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,5,3,5,5,2,5,5
63,"Executivo - Sisp",40%,3,3,4,5,2,1,3,3,3,3,3,5,4,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,5,4,5,5,5,3,4,4,5,4,4,4,2,3,3,5,3,3,4,4,4,4,4,4,4,2,4,5,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,3,4,5,5,3,3,3,3,3,4,4,4,4,3,50,,50,,60,,95,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,5
64,"Executivo - Sisp",44%,3,3,3,4,3,3,4,5,4,3,5,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,2,2,2,2,2,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,5,4,3,5,3,4,3,4,5,5,3,5,5,4,3,3,4,3,3,4,3,3,3,3,3,3,5,1,,3,3,3,3,3,3,3,3,3,3,4,5,4,3,3,4,3,3,4,3,3,3,3,3,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,1,3,1,3,3,3,3,3,3,5,5,3,4,4,4,5,4,5,3,4,3,3,3,3,3,3,3,3,100,90,100,100,100,100,100,95,16,16,1,1,16,0,98,2,,,,,,,100,0,100,0,100,0,,,,,,100,,100,,,,,,,4,3,3,3,3,3,2,3,5
65,"Executivo - Sisp",52%,3,4,2,3,2,2,4,5,5,5,4,4,5,4,4,4,4,4,4,2,2,4,2,3,4,4,3,4,4,2,2,2,2,2,4,3,5,5,3,3,3,3,3,3,2,5,5,5,5,5,5,5,5,5,5,3,4,3,3,5,5,4,5,4,4,2,4,4,2,4,5,4,4,5,5,3,5,5,2,1,4,3,4,2,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,4,4,4,4,2,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,4,4,3,5,4,3,3,3,2,2,5,5,5,5,5,5,5,4,5,5,5,4,4,5,4,5,5,4,5,1,100,1,100,1,100,1,100,1,100,1,,95,5,30,0,80,0,42,0,60,0,,,,,,,,,,,,,,,,,,,,,5,4,3,3,3,2,2,4,5
66,"Executivo - Sisp",27%,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,4,4,4,3,5,4,4,3,3,4,4,4,2,2,5,2,2,4,2,3,3,2,2,4,4,5,3,3,5,5,5,5,5,5,,4,3,3,3,3,3,4,3,4,3,3,3,3,3,2,2,3,3,3,2,4,4,2,2,2,5,2,2,3,4,2,2,2,2,2,2,2,4,2,4,2,2,2,2,2,2,5,5,4,2,5,2,2,2,2,2,2,4,4,2,4,4,2,5,4,2,3,4,2,2,2,2,2,2,2,2,,,,,,,,,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,2,2,2,2,4,4
67,"Executivo - Sisp",48%,5,1,2,2,2,2,2,2,1,1,2,3,5,5,2,2,2,2,3,3,1,3,2,2,2,2,4,4,5,2,2,2,2,2,4,5,5,5,5,5,5,5,5,5,2,2,2,2,2,4,4,4,4,4,4,4,5,5,5,2,2,2,1,1,4,5,2,4,5,4,2,4,4,4,2,2,4,5,2,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,5,5,5,5,5,5,5,5,5,2,5,2,4,5,5,4,2,4,2,5,5,2,5,2,5,2,5,2,2,4,4,5,5,5,2,2,4,5,5,4,5,5,4,5,4,5,5,5,5,4,2,5,5,2,2,5,5,5,4,2,5,100,50,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,5,4,4,4,5,2,2,2,4
68,"Executivo - Dest",35%,5,1,2,5,5,4,3,5,4,4,2,3,3,3,5,4,3,2,4,4,4,4,3,2,3,3,3,3,3,2,2,2,2,4,2,4,3,3,3,5,4,4,4,4,5,3,3,3,3,4,4,4,3,3,3,4,5,3,2,2,2,2,5,2,2,2,2,2,4,5,5,4,4,4,2,2,4,4,2,1,3,3,3,4,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,5,5,3,3,3,4,2,3,3,2,3,3,3,3,2,2,4,3,2,2,2,2,2,2,2,2,4,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,2,2,3,4,5,4,2,5,33,0,100,95,100,0,13,100,25,0,1,1,51,3,84,15,12,11,100,26,80,21,100,0,,,,,,,,,,,,,,,,,,,5,4,2,2,2,2,2,2,5
69,"Executivo - Dest",75%,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,4,5,5,2,5,2,2,4,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,5,2,5,2,2,5,4,5,5,5,5,5,5,2,5,5,2,,5,5,4,5,4,5,4,5,5,5,5,5,5,5,4,4,4,4,5,2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,4,4,5,3,3,5,3,3,3,3,3,3,3,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,80,100,80,100,,,,,,,,1,,,,,,,,,,,100,0,100,0,,,,,,,70,80,,,,,,,,,1,1,1,1,1,1,1,1,5
70,"Executivo - Dest",31%,4,2,2,4,2,2,4,5,5,5,2,4,2,2,3,2,2,2,3,3,2,2,2,2,2,3,2,2,4,2,2,3,2,4,2,4,4,4,3,4,3,3,3,4,5,5,5,5,2,5,5,4,5,2,4,3,4,3,3,4,2,2,4,2,2,2,4,2,2,3,4,2,4,3,2,4,2,4,4,1,3,3,2,2,4,3,3,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,4,2,2,2,2,2,2,2,4,4,2,2,2,2,3,3,3,2,4,2,2,3,3,2,2,3,4,4,4,4,4,5,5,4,4,4,4,2,2,4,3,4,4,2,2,22,0,100,100,100,33,,,,,1,1,75,100,10,133,30,0,25,0,35,30,100,0,100,0,100,0,100,0,100,0,100,99,5,5,56,100,99,5,19,42,,,5,4,2,2,1,2,2,4,5
71,"Executivo - Dest",85%,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,4,3,3,5,5,5,5,5,5,4,5,5,5,4,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,3,3,5,5,5,5,5,5,,4,2,4,2,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,4,3,5,5,5,5,5,5,5,2,2,4,4,5,5,4,5,5,4,4,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,98,98,80,70,65,71,,,,,1,,35,12,59,9,82,4,56,4,62,32,,,,,,,,,,,98,98,02,98,98,7,98,99,8,98,99,27,,,5,4,4,4,5,5,5,5,5
72,"Executivo - Dest",52%,5,5,5,5,3,2,4,5,5,5,5,4,4,2,4,4,2,2,3,3,3,3,3,4,2,2,2,2,2,5,4,4,2,3,3,5,5,5,2,5,4,4,5,5,5,5,5,5,5,5,5,3,3,4,2,5,4,5,5,5,2,2,5,2,2,4,2,4,5,5,5,5,4,5,5,2,3,3,3,,4,3,2,2,5,5,4,2,4,4,4,3,4,4,4,4,2,2,2,2,2,2,2,2,2,5,2,4,3,5,5,2,4,2,2,2,2,3,2,3,2,3,2,2,3,3,4,2,4,5,4,5,5,5,4,4,5,5,5,4,4,5,4,5,5,5,4,5,5,2,3,5,5,4,2,5,,,,,,,,,,,1,,27,0,73,0,59,0,69,10,,,,,,,,,,,,,,,,,,,,,,,4,4,3,2,4,2,2,5,5
73,"Executivo - Dest",64%,3,5,4,5,3,3,5,5,5,5,5,4,5,3,3,3,3,3,2,3,2,4,2,4,3,3,3,3,4,5,4,5,2,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,4,5,5,5,2,2,4,5,4,1,1,1,5,5,5,5,4,3,5,5,5,5,5,,5,3,2,2,3,2,3,2,2,2,4,3,4,3,5,2,3,4,4,4,3,3,3,3,3,5,5,5,5,4,3,3,5,5,4,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,5,4,3,3,3,3,3,5,5,3,5,3,3,5,4,5,5,5,4,4,3,4,5,4,4,3,70,80,100,100,14,93,15,15,,,,,1,1,14,93,,,,,,,,,,100,100,100,100,100,100,,,,,95,99,3,80,92,90,99,49,90,99,72,90,99,72,5,3,4,4,5,5,1,5,5
74,"Executivo - Dest",46%,2,1,1,5,3,3,5,5,4,5,3,3,4,3,3,3,3,3,3,3,2,5,5,3,3,4,3,4,4,2,3,3,2,4,5,4,5,4,5,5,2,2,4,5,5,4,5,5,4,5,5,4,4,5,5,4,5,3,3,5,2,2,2,2,2,2,2,2,3,3,5,2,2,3,3,2,2,5,5,,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,3,3,4,3,4,3,3,4,3,4,3,4,5,5,5,4,4,3,3,5,3,4,3,3,3,3,3,4,5,2,3,3,5,5,5,2,3,4,3,3,3,3,4,3,3,5,72013,100,30,100,97,99,20,100,,,1,,1,17,100,20,,,,,,,,,,,,,,,,,80,100,20,100,99,8,98,99,8,100,,,5,3,3,3,3,3,3,4,4
75,"Executivo - Dest",67%,5,5,5,4,3,3,5,5,5,5,5,5,5,4,4,4,3,3,4,5,5,5,2,4,4,5,4,4,4,4,4,5,3,3,5,5,5,5,5,5,3,3,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,2,2,2,5,4,4,5,2,2,3,5,4,4,4,5,4,5,5,5,5,,3,3,4,4,5,4,4,4,3,4,5,5,5,5,3,4,3,4,4,4,4,4,3,3,3,5,4,5,4,5,4,4,4,4,3,4,4,4,3,4,3,5,4,5,5,3,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,4,5,5,100,97,4,100,92,25,100,78,15,,,,,1,1,61,87,,64,85,,57,89,,78,15,,,,100,,100,,100,,,,,,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,1,1,1,5
76,"Executivo - Dest",58%,5,5,5,3,2,5,2,5,5,5,4,4,4,4,5,4,4,3,3,1,4,1,5,3,4,4,4,3,5,4,5,5,4,3,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,4,4,4,4,4,4,5,4,3,4,2,2,5,4,5,4,2,4,4,3,3,3,3,3,2,2,4,5,5,,4,4,3,3,5,5,3,3,2,2,5,5,5,5,4,4,5,5,5,5,3,3,3,3,3,4,2,2,5,4,4,4,4,4,5,3,3,4,3,4,4,3,3,3,3,3,4,3,3,4,4,5,5,4,5,5,3,5,4,3,5,3,4,4,4,2,5,5,5,5,5,4,5,4,5,3,3,25,85,116,99,8,100,40,82,,,1,,10,,10,,10,,5,,,,,,,,,,,,,,99,5,100,99,9,100,99,85,99,99,101,,,4,3,3,3,4,4,2,5,5
77,"Executivo - Dest",60%,5,5,5,5,3,3,5,3,3,3,3,3,5,3,3,3,3,3,5,5,5,5,4,5,3,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3,3,3,3,3,3,3,3,3,5,5,2,5,2,2,2,4,2,2,2,2,2,5,5,5,5,5,5,5,5,4,5,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,4,4,4,5,5,3,5,5,5,5,5,5,5,3,3,5,5,3,3,5,5,3,5,5,3,3,3,3,3,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,100,60,100,100,,,,,,,1,,90,10,,,,,,,,,,,,,,,,,,,100,98,100,85,100,100,,,,,2,2,2,2,2,2,2,2,5
78,"Executivo - Dest",64%,5,5,5,5,5,4,5,5,5,5,5,5,5,3,3,4,3,4,5,5,2,2,2,4,3,3,3,5,5,3,4,4,3,3,5,5,5,5,5,5,5,5,5,5,1,4,5,5,2,5,4,5,3,2,4,5,5,5,5,4,1,1,5,4,5,2,2,2,4,4,5,5,4,5,5,2,2,4,2,1,3,3,3,3,3,3,4,4,4,3,4,4,4,3,4,3,4,4,5,2,4,4,5,4,5,5,3,3,4,5,4,4,3,3,4,4,5,5,5,5,3,4,3,5,4,5,5,4,5,5,5,3,4,4,4,3,2,5,5,4,4,5,4,5,5,4,3,5,3,3,4,5,5,4,4,5,100,100,100,100,100,100,100,100,100,100,1,1,,,,,,,,,,,100,0,100,0,,,,,,,12,8,99,99,98,100,90,,,,,4,4,4,4,4,2,2,2,5
79,"Executivo - Sisp",46%,4,4,4,5,3,3,4,3,3,3,5,4,5,5,4,4,3,4,3,3,4,4,4,4,4,4,4,4,5,2,3,3,3,3,3,5,5,5,5,5,5,4,4,4,4,4,4,3,3,5,3,4,4,3,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,3,2,3,3,3,3,3,3,5,2,1,3,3,5,5,4,3,5,5,4,4,5,5,5,4,2,5,4,4,5,4,4,4,4,4,3,4,3,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,5,3,3,3,5,5,4,4,4,4,5,5,4,4,4,100,80,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,3,3,3,5,5
